Precision: .06, Recall: .55, Average Precision: .15, Reciprocal Rank: .14, Precision At Rank 5: .00, Precision At Rank 20: .20
DOCID: CACM-2337, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2927, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-3086, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2837, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2997, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2325, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2932, DocREL: true, DocPrecision: .14, DocRecall: .09
DOCID: CACM-2110, DocREL: false, DocPrecision: .12, DocRecall: .09
DOCID: CACM-2706, DocREL: false, DocPrecision: .11, DocRecall: .09
DOCID: CACM-2784, DocREL: false, DocPrecision: .10, DocRecall: .09
DOCID: CACM-1309, DocREL: false, DocPrecision: .09, DocRecall: .09
DOCID: CACM-2743, DocREL: false, DocPrecision: .08, DocRecall: .09
DOCID: CACM-3162, DocREL: false, DocPrecision: .08, DocRecall: .09
DOCID: CACM-2702, DocREL: true, DocPrecision: .14, DocRecall: .18
DOCID: CACM-3055, DocREL: false, DocPrecision: .13, DocRecall: .18
DOCID: CACM-3018, DocREL: true, DocPrecision: .19, DocRecall: .27
DOCID: CACM-2828, DocREL: false, DocPrecision: .18, DocRecall: .27
DOCID: CACM-2936, DocREL: false, DocPrecision: .17, DocRecall: .27
DOCID: CACM-3131, DocREL: false, DocPrecision: .16, DocRecall: .27
DOCID: CACM-2703, DocREL: true, DocPrecision: .20, DocRecall: .36
DOCID: CACM-1659, DocREL: false, DocPrecision: .19, DocRecall: .36
DOCID: CACM-3037, DocREL: false, DocPrecision: .18, DocRecall: .36
DOCID: CACM-2454, DocREL: false, DocPrecision: .17, DocRecall: .36
DOCID: CACM-3163, DocREL: false, DocPrecision: .17, DocRecall: .36
DOCID: CACM-2766, DocREL: false, DocPrecision: .16, DocRecall: .36
DOCID: CACM-2746, DocREL: false, DocPrecision: .15, DocRecall: .36
DOCID: CACM-2855, DocREL: false, DocPrecision: .15, DocRecall: .36
DOCID: CACM-2986, DocREL: false, DocPrecision: .14, DocRecall: .36
DOCID: CACM-2882, DocREL: false, DocPrecision: .14, DocRecall: .36
DOCID: CACM-2251, DocREL: false, DocPrecision: .13, DocRecall: .36
DOCID: CACM-2938, DocREL: false, DocPrecision: .13, DocRecall: .36
DOCID: CACM-1429, DocREL: true, DocPrecision: .16, DocRecall: .45
DOCID: CACM-2950, DocREL: false, DocPrecision: .15, DocRecall: .45
DOCID: CACM-2903, DocREL: false, DocPrecision: .15, DocRecall: .45
DOCID: CACM-1658, DocREL: false, DocPrecision: .14, DocRecall: .45
DOCID: CACM-1619, DocREL: false, DocPrecision: .14, DocRecall: .45
DOCID: CACM-3007, DocREL: false, DocPrecision: .14, DocRecall: .45
DOCID: CACM-2033, DocREL: false, DocPrecision: .13, DocRecall: .45
DOCID: CACM-2167, DocREL: false, DocPrecision: .13, DocRecall: .45
DOCID: CACM-3070, DocREL: false, DocPrecision: .12, DocRecall: .45
DOCID: CACM-2679, DocREL: false, DocPrecision: .12, DocRecall: .45
DOCID: CACM-3032, DocREL: false, DocPrecision: .12, DocRecall: .45
DOCID: CACM-2953, DocREL: false, DocPrecision: .12, DocRecall: .45
DOCID: CACM-3151, DocREL: false, DocPrecision: .11, DocRecall: .45
DOCID: CACM-2457, DocREL: false, DocPrecision: .11, DocRecall: .45
DOCID: CACM-1961, DocREL: false, DocPrecision: .11, DocRecall: .45
DOCID: CACM-3069, DocREL: false, DocPrecision: .11, DocRecall: .45
DOCID: CACM-1462, DocREL: false, DocPrecision: .10, DocRecall: .45
DOCID: CACM-2916, DocREL: false, DocPrecision: .10, DocRecall: .45
DOCID: CACM-2263, DocREL: false, DocPrecision: .10, DocRecall: .45
DOCID: CACM-3110, DocREL: false, DocPrecision: .10, DocRecall: .45
DOCID: CACM-2554, DocREL: false, DocPrecision: .10, DocRecall: .45
DOCID: CACM-2504, DocREL: false, DocPrecision: .09, DocRecall: .45
DOCID: CACM-3106, DocREL: false, DocPrecision: .09, DocRecall: .45
DOCID: CACM-3100, DocREL: false, DocPrecision: .09, DocRecall: .45
DOCID: CACM-2780, DocREL: false, DocPrecision: .09, DocRecall: .45
DOCID: CACM-3045, DocREL: false, DocPrecision: .09, DocRecall: .45
DOCID: CACM-0371, DocREL: false, DocPrecision: .09, DocRecall: .45
DOCID: CACM-3154, DocREL: false, DocPrecision: .08, DocRecall: .45
DOCID: CACM-3150, DocREL: false, DocPrecision: .08, DocRecall: .45
DOCID: CACM-2628, DocREL: false, DocPrecision: .08, DocRecall: .45
DOCID: CACM-0895, DocREL: false, DocPrecision: .08, DocRecall: .45
DOCID: CACM-2401, DocREL: false, DocPrecision: .08, DocRecall: .45
DOCID: CACM-1404, DocREL: false, DocPrecision: .08, DocRecall: .45
DOCID: CACM-3166, DocREL: false, DocPrecision: .08, DocRecall: .45
DOCID: CACM-2226, DocREL: false, DocPrecision: .08, DocRecall: .45
DOCID: CACM-3140, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-1719, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-2170, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-1899, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-1035, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-2904, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-2645, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-2874, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-2726, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-1595, DocREL: false, DocPrecision: .07, DocRecall: .45
DOCID: CACM-2365, DocREL: false, DocPrecision: .06, DocRecall: .45
DOCID: CACM-2623, DocREL: false, DocPrecision: .06, DocRecall: .45
DOCID: CACM-2695, DocREL: false, DocPrecision: .06, DocRecall: .45
DOCID: CACM-2273, DocREL: false, DocPrecision: .06, DocRecall: .45
DOCID: CACM-1350, DocREL: false, DocPrecision: .06, DocRecall: .45
DOCID: CACM-3165, DocREL: false, DocPrecision: .06, DocRecall: .45
DOCID: CACM-2665, DocREL: false, DocPrecision: .06, DocRecall: .45
DOCID: CACM-2490, DocREL: true, DocPrecision: .07, DocRecall: .55
DOCID: CACM-2146, DocREL: false, DocPrecision: .07, DocRecall: .55
DOCID: CACM-0149, DocREL: false, DocPrecision: .07, DocRecall: .55
DOCID: CACM-2417, DocREL: false, DocPrecision: .07, DocRecall: .55
DOCID: CACM-2283, DocREL: false, DocPrecision: .07, DocRecall: .55
DOCID: CACM-2765, DocREL: false, DocPrecision: .07, DocRecall: .55
DOCID: CACM-2289, DocREL: false, DocPrecision: .07, DocRecall: .55
DOCID: CACM-3010, DocREL: false, DocPrecision: .07, DocRecall: .55
DOCID: CACM-1465, DocREL: false, DocPrecision: .07, DocRecall: .55
DOCID: CACM-2771, DocREL: false, DocPrecision: .06, DocRecall: .55
DOCID: CACM-2892, DocREL: false, DocPrecision: .06, DocRecall: .55
DOCID: CACM-2127, DocREL: false, DocPrecision: .06, DocRecall: .55
DOCID: CACM-2799, DocREL: false, DocPrecision: .06, DocRecall: .55
DOCID: CACM-2092, DocREL: false, DocPrecision: .06, DocRecall: .55
DOCID: CACM-2313, DocREL: false, DocPrecision: .06, DocRecall: .55
DOCID: CACM-2749, DocREL: false, DocPrecision: .06, DocRecall: .55
DOCID: CACM-1957, DocREL: false, DocPrecision: .06, DocRecall: .55
