Precision: .01, Recall: 1.00, Average Precision: 1.00, Reciprocal Rank: 1.00, Precision At Rank 5: .20, Precision At Rank 20: .05
DOCID: CACM-3077, DocREL: true, DocPrecision: 1.00, DocRecall: 1.00
DOCID: CACM-3140, DocREL: false, DocPrecision: .50, DocRecall: 1.00
DOCID: CACM-1705, DocREL: false, DocPrecision: .33, DocRecall: 1.00
DOCID: CACM-2700, DocREL: false, DocPrecision: .25, DocRecall: 1.00
DOCID: CACM-2705, DocREL: false, DocPrecision: .20, DocRecall: 1.00
DOCID: CACM-2802, DocREL: false, DocPrecision: .17, DocRecall: 1.00
DOCID: CACM-1771, DocREL: false, DocPrecision: .14, DocRecall: 1.00
DOCID: CACM-1469, DocREL: false, DocPrecision: .12, DocRecall: 1.00
DOCID: CACM-2850, DocREL: false, DocPrecision: .11, DocRecall: 1.00
DOCID: CACM-2922, DocREL: false, DocPrecision: .10, DocRecall: 1.00
DOCID: CACM-0796, DocREL: false, DocPrecision: .09, DocRecall: 1.00
DOCID: CACM-1470, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-2981, DocREL: false, DocPrecision: .08, DocRecall: 1.00
DOCID: CACM-3036, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-2181, DocREL: false, DocPrecision: .07, DocRecall: 1.00
DOCID: CACM-1834, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-1764, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-3154, DocREL: false, DocPrecision: .06, DocRecall: 1.00
DOCID: CACM-1591, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-2820, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-1155, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-2219, DocREL: false, DocPrecision: .05, DocRecall: 1.00
DOCID: CACM-3078, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2645, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1458, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1354, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1680, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-1977, DocREL: false, DocPrecision: .04, DocRecall: 1.00
DOCID: CACM-2876, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1945, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2538, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1677, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1088, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2175, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2113, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2864, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2201, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-3103, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1327, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-2931, DocREL: false, DocPrecision: .03, DocRecall: 1.00
DOCID: CACM-1811, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2148, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2470, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1630, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-3130, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1385, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-2971, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-3150, DocREL: false, DocPrecision: .02, DocRecall: 1.00
DOCID: CACM-1890, DocREL: false, DocPrecision: .02, DocRecall: 1.00
