Precision: .16, Recall: .80, Average Precision: .50, Reciprocal Rank: 1.00, Precision At Rank 5: .60, Precision At Rank 20: .45
DOCID: CACM-2110, DocREL: true, DocPrecision: 1.00, DocRecall: .05
DOCID: CACM-1265, DocREL: true, DocPrecision: 1.00, DocRecall: .10
DOCID: CACM-2739, DocREL: false, DocPrecision: .67, DocRecall: .10
DOCID: CACM-1350, DocREL: true, DocPrecision: .75, DocRecall: .15
DOCID: CACM-2061, DocREL: false, DocPrecision: .60, DocRecall: .15
DOCID: CACM-2698, DocREL: false, DocPrecision: .50, DocRecall: .15
DOCID: CACM-2030, DocREL: false, DocPrecision: .43, DocRecall: .15
DOCID: CACM-2112, DocREL: false, DocPrecision: .38, DocRecall: .15
DOCID: CACM-1787, DocREL: true, DocPrecision: .44, DocRecall: .20
DOCID: CACM-1012, DocREL: false, DocPrecision: .40, DocRecall: .20
DOCID: CACM-2703, DocREL: false, DocPrecision: .36, DocRecall: .20
DOCID: CACM-2301, DocREL: false, DocPrecision: .33, DocRecall: .20
DOCID: CACM-2754, DocREL: false, DocPrecision: .31, DocRecall: .20
DOCID: CACM-1768, DocREL: true, DocPrecision: .36, DocRecall: .25
DOCID: CACM-2546, DocREL: false, DocPrecision: .33, DocRecall: .25
DOCID: CACM-1825, DocREL: true, DocPrecision: .38, DocRecall: .30
DOCID: CACM-2836, DocREL: true, DocPrecision: .41, DocRecall: .35
DOCID: CACM-2084, DocREL: true, DocPrecision: .44, DocRecall: .40
DOCID: CACM-1836, DocREL: true, DocPrecision: .47, DocRecall: .45
DOCID: CACM-1989, DocREL: false, DocPrecision: .45, DocRecall: .45
DOCID: CACM-2733, DocREL: true, DocPrecision: .48, DocRecall: .50
DOCID: CACM-2794, DocREL: false, DocPrecision: .45, DocRecall: .50
DOCID: CACM-1612, DocREL: false, DocPrecision: .43, DocRecall: .50
DOCID: CACM-2050, DocREL: false, DocPrecision: .42, DocRecall: .50
DOCID: CACM-2476, DocREL: false, DocPrecision: .40, DocRecall: .50
DOCID: CACM-2179, DocREL: true, DocPrecision: .42, DocRecall: .55
DOCID: CACM-1399, DocREL: false, DocPrecision: .41, DocRecall: .55
DOCID: CACM-2340, DocREL: true, DocPrecision: .43, DocRecall: .60
DOCID: CACM-1453, DocREL: false, DocPrecision: .41, DocRecall: .60
DOCID: CACM-1395, DocREL: false, DocPrecision: .40, DocRecall: .60
