Precision: .15, Recall: .37, Average Precision: .26, Reciprocal Rank: .20, Precision At Rank 5: .20, Precision At Rank 20: .30
DOCID: CACM-2569, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-3046, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2847, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-3107, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2754, DocREL: true, DocPrecision: .20, DocRecall: .02
DOCID: CACM-2455, DocREL: false, DocPrecision: .17, DocRecall: .02
DOCID: CACM-2771, DocREL: true, DocPrecision: .29, DocRecall: .05
DOCID: CACM-3098, DocREL: false, DocPrecision: .25, DocRecall: .05
DOCID: CACM-3125, DocREL: false, DocPrecision: .22, DocRecall: .05
DOCID: CACM-2829, DocREL: true, DocPrecision: .30, DocRecall: .07
DOCID: CACM-2883, DocREL: true, DocPrecision: .36, DocRecall: .10
DOCID: CACM-2341, DocREL: false, DocPrecision: .33, DocRecall: .10
DOCID: CACM-1528, DocREL: true, DocPrecision: .38, DocRecall: .12
DOCID: CACM-2113, DocREL: false, DocPrecision: .36, DocRecall: .12
DOCID: CACM-1427, DocREL: false, DocPrecision: .33, DocRecall: .12
DOCID: CACM-2924, DocREL: true, DocPrecision: .38, DocRecall: .15
DOCID: CACM-1265, DocREL: false, DocPrecision: .35, DocRecall: .15
DOCID: CACM-2402, DocREL: false, DocPrecision: .33, DocRecall: .15
DOCID: CACM-1590, DocREL: false, DocPrecision: .32, DocRecall: .15
DOCID: CACM-0462, DocREL: false, DocPrecision: .30, DocRecall: .15
DOCID: CACM-1553, DocREL: false, DocPrecision: .29, DocRecall: .15
DOCID: CACM-1399, DocREL: false, DocPrecision: .27, DocRecall: .15
DOCID: CACM-1630, DocREL: false, DocPrecision: .26, DocRecall: .15
DOCID: CACM-2287, DocREL: false, DocPrecision: .25, DocRecall: .15
DOCID: CACM-1726, DocREL: false, DocPrecision: .24, DocRecall: .15
DOCID: CACM-2746, DocREL: false, DocPrecision: .23, DocRecall: .15
DOCID: CACM-2197, DocREL: false, DocPrecision: .22, DocRecall: .15
DOCID: CACM-2494, DocREL: false, DocPrecision: .21, DocRecall: .15
DOCID: CACM-2828, DocREL: true, DocPrecision: .24, DocRecall: .17
DOCID: CACM-0320, DocREL: false, DocPrecision: .23, DocRecall: .17
DOCID: CACM-2751, DocREL: true, DocPrecision: .26, DocRecall: .20
DOCID: CACM-2187, DocREL: false, DocPrecision: .25, DocRecall: .20
DOCID: CACM-3049, DocREL: false, DocPrecision: .24, DocRecall: .20
DOCID: CACM-2966, DocREL: false, DocPrecision: .24, DocRecall: .20
DOCID: CACM-3149, DocREL: true, DocPrecision: .26, DocRecall: .22
DOCID: CACM-1527, DocREL: false, DocPrecision: .25, DocRecall: .22
DOCID: CACM-3165, DocREL: false, DocPrecision: .24, DocRecall: .22
