Precision: .11, Recall: .37, Average Precision: .17, Reciprocal Rank: .11, Precision At Rank 5: .00, Precision At Rank 20: .20
DOCID: CACM-2626, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2817, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2372, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-1750, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2840, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-3068, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-3105, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-2424, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-3128, DocREL: true, DocPrecision: .11, DocRecall: .03
DOCID: CACM-2080, DocREL: true, DocPrecision: .20, DocRecall: .07
DOCID: CACM-2939, DocREL: false, DocPrecision: .18, DocRecall: .07
DOCID: CACM-2632, DocREL: true, DocPrecision: .25, DocRecall: .10
DOCID: CACM-1677, DocREL: false, DocPrecision: .23, DocRecall: .10
DOCID: CACM-1591, DocREL: false, DocPrecision: .21, DocRecall: .10
DOCID: CACM-2878, DocREL: false, DocPrecision: .20, DocRecall: .10
DOCID: CACM-2317, DocREL: false, DocPrecision: .19, DocRecall: .10
DOCID: CACM-2320, DocREL: true, DocPrecision: .24, DocRecall: .13
DOCID: CACM-1728, DocREL: false, DocPrecision: .22, DocRecall: .13
DOCID: CACM-2111, DocREL: false, DocPrecision: .21, DocRecall: .13
DOCID: CACM-2314, DocREL: false, DocPrecision: .20, DocRecall: .13
DOCID: CACM-2867, DocREL: false, DocPrecision: .19, DocRecall: .13
DOCID: CACM-1476, DocREL: false, DocPrecision: .18, DocRecall: .13
DOCID: CACM-2342, DocREL: true, DocPrecision: .22, DocRecall: .17
DOCID: CACM-2377, DocREL: false, DocPrecision: .21, DocRecall: .17
DOCID: CACM-1680, DocREL: false, DocPrecision: .20, DocRecall: .17
DOCID: CACM-1461, DocREL: false, DocPrecision: .19, DocRecall: .17
DOCID: CACM-2541, DocREL: true, DocPrecision: .22, DocRecall: .20
DOCID: CACM-2578, DocREL: false, DocPrecision: .21, DocRecall: .20
DOCID: CACM-2036, DocREL: false, DocPrecision: .21, DocRecall: .20
DOCID: CACM-2668, DocREL: false, DocPrecision: .20, DocRecall: .20
DOCID: CACM-1247, DocREL: false, DocPrecision: .19, DocRecall: .20
DOCID: CACM-0084, DocREL: false, DocPrecision: .19, DocRecall: .20
DOCID: CACM-3026, DocREL: false, DocPrecision: .18, DocRecall: .20
DOCID: CACM-1747, DocREL: false, DocPrecision: .18, DocRecall: .20
DOCID: CACM-0059, DocREL: false, DocPrecision: .17, DocRecall: .20
DOCID: CACM-2297, DocREL: false, DocPrecision: .17, DocRecall: .20
DOCID: CACM-2319, DocREL: false, DocPrecision: .16, DocRecall: .20
DOCID: CACM-2151, DocREL: false, DocPrecision: .16, DocRecall: .20
DOCID: CACM-3141, DocREL: false, DocPrecision: .15, DocRecall: .20
DOCID: CACM-1341, DocREL: false, DocPrecision: .15, DocRecall: .20
DOCID: CACM-0104, DocREL: false, DocPrecision: .15, DocRecall: .20
DOCID: CACM-2870, DocREL: false, DocPrecision: .14, DocRecall: .20
DOCID: CACM-1290, DocREL: false, DocPrecision: .14, DocRecall: .20
DOCID: CACM-2438, DocREL: false, DocPrecision: .14, DocRecall: .20
DOCID: CACM-2597, DocREL: true, DocPrecision: .16, DocRecall: .23
DOCID: CACM-1671, DocREL: false, DocPrecision: .15, DocRecall: .23
DOCID: CACM-3183, DocREL: false, DocPrecision: .15, DocRecall: .23
DOCID: CACM-1844, DocREL: false, DocPrecision: .15, DocRecall: .23
DOCID: CACM-1462, DocREL: false, DocPrecision: .14, DocRecall: .23
DOCID: CACM-3011, DocREL: false, DocPrecision: .14, DocRecall: .23
DOCID: CACM-2629, DocREL: false, DocPrecision: .14, DocRecall: .23
DOCID: CACM-2558, DocREL: false, DocPrecision: .13, DocRecall: .23
DOCID: CACM-0618, DocREL: false, DocPrecision: .13, DocRecall: .23
DOCID: CACM-0086, DocREL: false, DocPrecision: .13, DocRecall: .23
DOCID: CACM-3050, DocREL: false, DocPrecision: .13, DocRecall: .23
DOCID: CACM-2621, DocREL: false, DocPrecision: .12, DocRecall: .23
DOCID: CACM-2950, DocREL: false, DocPrecision: .12, DocRecall: .23
DOCID: CACM-2938, DocREL: true, DocPrecision: .14, DocRecall: .27
DOCID: CACM-0696, DocREL: false, DocPrecision: .14, DocRecall: .27
DOCID: CACM-2888, DocREL: false, DocPrecision: .13, DocRecall: .27
DOCID: CACM-1534, DocREL: false, DocPrecision: .13, DocRecall: .27
DOCID: CACM-2876, DocREL: false, DocPrecision: .13, DocRecall: .27
DOCID: CACM-3025, DocREL: false, DocPrecision: .13, DocRecall: .27
DOCID: CACM-2985, DocREL: false, DocPrecision: .12, DocRecall: .27
DOCID: CACM-2439, DocREL: false, DocPrecision: .12, DocRecall: .27
DOCID: CACM-1636, DocREL: false, DocPrecision: .12, DocRecall: .27
DOCID: CACM-1751, DocREL: false, DocPrecision: .12, DocRecall: .27
DOCID: CACM-2379, DocREL: true, DocPrecision: .13, DocRecall: .30
DOCID: CACM-3127, DocREL: false, DocPrecision: .13, DocRecall: .30
DOCID: CACM-2321, DocREL: false, DocPrecision: .13, DocRecall: .30
DOCID: CACM-2358, DocREL: false, DocPrecision: .13, DocRecall: .30
DOCID: CACM-2821, DocREL: false, DocPrecision: .12, DocRecall: .30
DOCID: CACM-2138, DocREL: false, DocPrecision: .12, DocRecall: .30
DOCID: CACM-0617, DocREL: false, DocPrecision: .12, DocRecall: .30
DOCID: CACM-1226, DocREL: false, DocPrecision: .12, DocRecall: .30
DOCID: CACM-2497, DocREL: false, DocPrecision: .12, DocRecall: .30
DOCID: CACM-3028, DocREL: false, DocPrecision: .12, DocRecall: .30
DOCID: CACM-2866, DocREL: true, DocPrecision: .13, DocRecall: .33
DOCID: CACM-2378, DocREL: false, DocPrecision: .13, DocRecall: .33
DOCID: CACM-1684, DocREL: false, DocPrecision: .12, DocRecall: .33
DOCID: CACM-1236, DocREL: false, DocPrecision: .12, DocRecall: .33
DOCID: CACM-2482, DocREL: false, DocPrecision: .12, DocRecall: .33
DOCID: CACM-1951, DocREL: false, DocPrecision: .12, DocRecall: .33
DOCID: CACM-0300, DocREL: false, DocPrecision: .12, DocRecall: .33
DOCID: CACM-0251, DocREL: false, DocPrecision: .12, DocRecall: .33
DOCID: CACM-2522, DocREL: false, DocPrecision: .12, DocRecall: .33
DOCID: CACM-0440, DocREL: false, DocPrecision: .11, DocRecall: .33
DOCID: CACM-1754, DocREL: false, DocPrecision: .11, DocRecall: .33
DOCID: CACM-2936, DocREL: false, DocPrecision: .11, DocRecall: .33
DOCID: CACM-3153, DocREL: false, DocPrecision: .11, DocRecall: .33
DOCID: CACM-2069, DocREL: false, DocPrecision: .11, DocRecall: .33
DOCID: CACM-1463, DocREL: false, DocPrecision: .11, DocRecall: .33
DOCID: CACM-2740, DocREL: true, DocPrecision: .12, DocRecall: .37
DOCID: CACM-1487, DocREL: false, DocPrecision: .12, DocRecall: .37
DOCID: CACM-2168, DocREL: false, DocPrecision: .12, DocRecall: .37
DOCID: CACM-1552, DocREL: false, DocPrecision: .11, DocRecall: .37
DOCID: CACM-1489, DocREL: false, DocPrecision: .11, DocRecall: .37
DOCID: CACM-2624, DocREL: false, DocPrecision: .11, DocRecall: .37
DOCID: CACM-1647, DocREL: false, DocPrecision: .11, DocRecall: .37
DOCID: CACM-3072, DocREL: false, DocPrecision: .11, DocRecall: .37
