Precision: .03, Recall: .60, Average Precision: .42, Reciprocal Rank: .50, Precision At Rank 5: .40, Precision At Rank 20: .10
DOCID: CACM-1519, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-1410, DocREL: true, DocPrecision: .50, DocRecall: .20
DOCID: CACM-1605, DocREL: true, DocPrecision: .67, DocRecall: .40
DOCID: CACM-1523, DocREL: false, DocPrecision: .50, DocRecall: .40
DOCID: CACM-1506, DocREL: false, DocPrecision: .40, DocRecall: .40
DOCID: CACM-2379, DocREL: false, DocPrecision: .33, DocRecall: .40
DOCID: CACM-2380, DocREL: false, DocPrecision: .29, DocRecall: .40
DOCID: CACM-2319, DocREL: false, DocPrecision: .25, DocRecall: .40
DOCID: CACM-1033, DocREL: false, DocPrecision: .22, DocRecall: .40
DOCID: CACM-1938, DocREL: false, DocPrecision: .20, DocRecall: .40
DOCID: CACM-1544, DocREL: false, DocPrecision: .18, DocRecall: .40
DOCID: CACM-2371, DocREL: false, DocPrecision: .17, DocRecall: .40
DOCID: CACM-0585, DocREL: false, DocPrecision: .15, DocRecall: .40
DOCID: CACM-2497, DocREL: false, DocPrecision: .14, DocRecall: .40
DOCID: CACM-2632, DocREL: false, DocPrecision: .13, DocRecall: .40
DOCID: CACM-1591, DocREL: false, DocPrecision: .12, DocRecall: .40
DOCID: CACM-1464, DocREL: false, DocPrecision: .12, DocRecall: .40
DOCID: CACM-2054, DocREL: false, DocPrecision: .11, DocRecall: .40
DOCID: CACM-1393, DocREL: false, DocPrecision: .11, DocRecall: .40
DOCID: CACM-1428, DocREL: false, DocPrecision: .10, DocRecall: .40
DOCID: CACM-1749, DocREL: false, DocPrecision: .10, DocRecall: .40
DOCID: CACM-1885, DocREL: false, DocPrecision: .09, DocRecall: .40
DOCID: CACM-1225, DocREL: false, DocPrecision: .09, DocRecall: .40
DOCID: CACM-1108, DocREL: false, DocPrecision: .08, DocRecall: .40
DOCID: CACM-2947, DocREL: false, DocPrecision: .08, DocRecall: .40
DOCID: CACM-1264, DocREL: false, DocPrecision: .08, DocRecall: .40
DOCID: CACM-1173, DocREL: false, DocPrecision: .07, DocRecall: .40
DOCID: CACM-2188, DocREL: false, DocPrecision: .07, DocRecall: .40
DOCID: CACM-2378, DocREL: false, DocPrecision: .07, DocRecall: .40
DOCID: CACM-1827, DocREL: false, DocPrecision: .07, DocRecall: .40
DOCID: CACM-0637, DocREL: false, DocPrecision: .06, DocRecall: .40
DOCID: CACM-3127, DocREL: false, DocPrecision: .06, DocRecall: .40
DOCID: CACM-2358, DocREL: true, DocPrecision: .09, DocRecall: .60
DOCID: CACM-1647, DocREL: false, DocPrecision: .09, DocRecall: .60
DOCID: CACM-1161, DocREL: false, DocPrecision: .09, DocRecall: .60
DOCID: CACM-2946, DocREL: false, DocPrecision: .08, DocRecall: .60
DOCID: CACM-1226, DocREL: false, DocPrecision: .08, DocRecall: .60
DOCID: CACM-1657, DocREL: false, DocPrecision: .08, DocRecall: .60
DOCID: CACM-1304, DocREL: false, DocPrecision: .08, DocRecall: .60
DOCID: CACM-3025, DocREL: false, DocPrecision: .07, DocRecall: .60
DOCID: CACM-0971, DocREL: false, DocPrecision: .07, DocRecall: .60
DOCID: CACM-2560, DocREL: false, DocPrecision: .07, DocRecall: .60
DOCID: CACM-2535, DocREL: false, DocPrecision: .07, DocRecall: .60
