Precision: .21, Recall: .68, Average Precision: .60, Reciprocal Rank: .50, Precision At Rank 5: .80, Precision At Rank 20: .50
DOCID: CACM-0634, DocREL: false, DocPrecision: .00, DocRecall: .00
DOCID: CACM-1927, DocREL: true, DocPrecision: .50, DocRecall: .03
DOCID: CACM-1457, DocREL: true, DocPrecision: .67, DocRecall: .06
DOCID: CACM-2307, DocREL: true, DocPrecision: .75, DocRecall: .10
DOCID: CACM-2711, DocREL: true, DocPrecision: .80, DocRecall: .13
DOCID: CACM-3134, DocREL: true, DocPrecision: .83, DocRecall: .16
DOCID: CACM-1236, DocREL: true, DocPrecision: .86, DocRecall: .19
DOCID: CACM-2990, DocREL: true, DocPrecision: .88, DocRecall: .23
DOCID: CACM-1935, DocREL: false, DocPrecision: .78, DocRecall: .23
DOCID: CACM-2140, DocREL: false, DocPrecision: .70, DocRecall: .23
DOCID: CACM-2114, DocREL: false, DocPrecision: .64, DocRecall: .23
DOCID: CACM-2631, DocREL: true, DocPrecision: .67, DocRecall: .26
DOCID: CACM-1830, DocREL: true, DocPrecision: .69, DocRecall: .29
DOCID: CACM-2451, DocREL: true, DocPrecision: .71, DocRecall: .32
DOCID: CACM-0239, DocREL: false, DocPrecision: .67, DocRecall: .32
DOCID: CACM-2278, DocREL: false, DocPrecision: .62, DocRecall: .32
DOCID: CACM-1699, DocREL: false, DocPrecision: .59, DocRecall: .32
DOCID: CACM-2288, DocREL: false, DocPrecision: .56, DocRecall: .32
DOCID: CACM-2516, DocREL: false, DocPrecision: .53, DocRecall: .32
DOCID: CACM-0891, DocREL: false, DocPrecision: .50, DocRecall: .32
DOCID: CACM-1681, DocREL: false, DocPrecision: .48, DocRecall: .32
DOCID: CACM-2160, DocREL: true, DocPrecision: .50, DocRecall: .35
DOCID: CACM-2976, DocREL: true, DocPrecision: .52, DocRecall: .39
DOCID: CACM-2965, DocREL: true, DocPrecision: .54, DocRecall: .42
DOCID: CACM-2882, DocREL: false, DocPrecision: .52, DocRecall: .42
DOCID: CACM-3168, DocREL: true, DocPrecision: .54, DocRecall: .45
DOCID: CACM-2561, DocREL: false, DocPrecision: .52, DocRecall: .45
DOCID: CACM-1032, DocREL: true, DocPrecision: .54, DocRecall: .48
DOCID: CACM-2070, DocREL: false, DocPrecision: .52, DocRecall: .48
DOCID: CACM-1194, DocREL: false, DocPrecision: .50, DocRecall: .48
DOCID: CACM-3169, DocREL: true, DocPrecision: .52, DocRecall: .52
DOCID: CACM-3012, DocREL: true, DocPrecision: .53, DocRecall: .55
DOCID: CACM-1976, DocREL: true, DocPrecision: .55, DocRecall: .58
DOCID: CACM-2746, DocREL: false, DocPrecision: .53, DocRecall: .58
DOCID: CACM-2519, DocREL: false, DocPrecision: .51, DocRecall: .58
DOCID: CACM-0651, DocREL: false, DocPrecision: .50, DocRecall: .58
DOCID: CACM-2991, DocREL: false, DocPrecision: .49, DocRecall: .58
DOCID: CACM-2139, DocREL: false, DocPrecision: .47, DocRecall: .58
DOCID: CACM-2484, DocREL: false, DocPrecision: .46, DocRecall: .58
DOCID: CACM-2947, DocREL: false, DocPrecision: .45, DocRecall: .58
DOCID: CACM-1652, DocREL: false, DocPrecision: .44, DocRecall: .58
DOCID: CACM-2765, DocREL: true, DocPrecision: .45, DocRecall: .61
